55.0;55;69,6
55.0;55;69,6
104.0;104;69,6
91.0;91;54,5
31.0;31;54,5
14.0;14;54,5
87.0;87;54,5
92.0;92;54,5
10.0;10;54,5
39.0;39;54,5
19.0;19;54,5
88.0;88;54,5
74.0;74;54,5
41.0;41;52,4
83.0;83;52,4
83.0;83;52,4
35.0;35;52,4
48.0;48;52,4
105.0;105;52,4
25.0;25;52,4
22.0;22;52,4
34.0;34;52,4
48.0;48;52,4
57.0;57;52,8
85.0;85;52,8
26.0;26;52,8
49.0;49;52,8
79.0;79;52,8
31.0;31;52,8
14.0;14;52,8
124.0;124;52,8
18.0;18;52,8
45.0;45;52,8
113.0;113;80,7
95.0;95;80,7
81.0;81;80,7
76.0;76;80,7
93.0;93;80,7
35.0;35;80,7
57.0;57;80,7
82.0;82;80,7
118.0;118;80,7
57.0;57;80,7
83.0;83;68,2
103.0;103;68,2
44.0;44;68,2
88.0;88;68,2
73.0;73;68,2
22.0;22;68,2
11.0;11;68,2
104.0;104;68,2
83.0;83;68,2
71.0;71;68,2
88.0;88;82,8
48.0;48;82,8
71.0;71;82,8
74.0;74;82,8
61.0;61;82,8
90.0;90;82,8
77.0;77;82,8
145.0;145;82,8
93.0;93;82,8
81.0;81;82,8
25.0;25;52,4
32.0;32;52,4
12.0;12;52,4
74.0;74;52,4
82.0;82;52,4
117.0;117;52,4
31.0;31;52,4
21.0;21;52,4
107.0;107;52,4
23.0;23;52,4
62.0;62;76,6
108.0;108;76,6
107.0;107;76,6
41.0;41;76,6
19.0;19;76,6
71.0;71;76,6
77.0;77;76,6
89.0;89;76,6
133.0;133;76,6
59.0;59;76,6
77.0;77;79,8
98.0;98;79,8
79.0;79;79,8
70.0;70;79,8
142.0;142;79,8
39.0;39;79,8
80.0;80;79,8
44.0;44;79,8
93.0;93;79,8
76.0;76;79,8
76.0;76;65,4
28.0;28;65,4
79.0;79;65,4
111.0;111;65,4
21.0;21;65,4
107.0;107;65,4
106.0;106;65,4
66.0;66;65,4
14.0;14;65,4
46.0;46;65,4
53.0;53;56,3
11.0;11;56,3
26.0;26;56,3
89.0;89;56,3
21.0;21;56,3
102.0;102;56,3
16.0;16;56,3
34.0;34;56,3
146.0;146;56,3
65.0;65;56,3
106.0;106;87,1
134.0;134;87,1
81.0;81;87,1
141.0;141;87,1
112.0;112;87,1
59.0;59;87,1
76.0;76;87,1
100.0;100;87,1
32.0;32;87,1
30.0;30;87,1
16.0;16;58,8
118.0;118;58,8
22.0;22;58,8
15.0;15;58,8
14.0;14;58,8
102.0;102;58,8
14.0;14;58,8
80.0;80;58,8
102.0;102;58,8
105.0;105;58,8
54.0;54;81,4
106.0;106;81,4
87.0;87;81,4
40.0;40;81,4
17.0;17;81,4
184.0;184;81,4
110.0;110;81,4
50.0;50;81,4
100.0;100;81,4
66.0;66;81,4
77.0;77;70,7
59.0;59;70,7
90.0;90;70,7
33.0;33;70,7
35.0;35;70,7
34.0;34;70,7
50.0;50;70,7
215.0;215;70,7
92.0;92;70,7
22.0;22;70,7
28.0;28;100,6
44.0;44;100,6
108.0;108;100,6
53.0;53;100,6
69.0;69;100,6
131.0;131;100,6
94.0;94;100,6
193.0;193;100,6
71.0;71;100,6
215.0;215;100,6
85.0;85;75,7
101.0;101;75,7
85.0;85;75,7
14.0;14;75,7
59.0;59;75,7
51.0;51;75,7
122.0;122;75,7
56.0;56;75,7
87.0;87;75,7
97.0;97;75,7
59.0;59;84,4
38.0;38;84,4
32.0;32;84,4
56.0;56;84,4
97.0;97;84,4
114.0;114;84,4
116.0;116;84,4
67.0;67;84,4
39.0;39;84,4
226.0;226;84,4
36.0;36;70,4
112.0;112;70,4
155.0;155;70,4
83.0;83;70,4
47.0;47;70,4
66.0;66;70,4
17.0;17;70,4
50.0;50;70,4
37.0;37;70,4
101.0;101;70,4
56.0;56;80,2
13.0;13;80,2
108.0;108;80,2
127.0;127;80,2
135.0;135;80,2
74.0;74;80,2
166.0;166;80,2
59.0;59;80,2
34.0;34;80,2
30.0;30;80,2
180.0;180;73,3
36.0;36;73,3
47.0;47;73,3
92.0;92;73,3
113.0;113;73,3
84.0;84;73,3
82.0;82;73,3
46.0;46;73,3
15.0;15;73,3
38.0;38;73,3
97.0;97;132,8
88.0;88;132,8
94.0;94;132,8
118.0;118;132,8
115.0;115;132,8
69.0;69;132,8
114.0;114;132,8
102.0;102;132,8
202.0;202;132,8
329.0;329;132,8
183.0;183;109,9
193.0;193;109,9
70.0;70;109,9
148.0;148;109,9
196.0;196;109,9
38.0;38;109,9
80.0;80;109,9
44.0;44;109,9
129.0;129;109,9
18.0;18;109,9
100.0;100;139,3
95.0;95;139,3
47.0;47;139,3
70.0;70;139,3
234.0;234;139,3
209.0;209;139,3
188.0;188;139,3
264.0;264;139,3
145.0;145;139,3
41.0;41;139,3
158.0;158;112,9
154.0;154;112,9
144.0;144;112,9
141.0;141;112,9
38.0;38;112,9
69.0;69;112,9
